,frequency
attack you as recall,1
attack you as,1
attack you and we,1
attack you and,1
attack you,1
attack with the fleet,1
attack with the army,1
attack with the,1
attack with,1
attack austria out,1
attack austria but,1
attacking italy this,1
at the game,1
at the expense,1
at the end so,1
at the end of,1
at the end,1
at the conclusion that,1
at the conclusion,1
at the borders and,1
at the borders,1
at the board bit,1
at the board and,1
at the board,1
at that point and,1
at that point,1
at that,1
at some point we,1
at some point they,1
at some point,1
at some,1
at seizing nth this,1
at seizing nth,1
at seizing,1
at the expense of,1
at the game or,1
attack austria and it,1
at the hip,1
at the start fractures,1
at the start,1
at the same time,1
at the same,1
at the prospect of,1
at the prospect,1
at the moves from,1
at the moves,1
at the moment ive,1
at the moment apart,1
at the moment and,1
at the moment,1
at the map when,1
at the map probably,1
at the map and,1
at the map,1
at the least if,1
at the least,1
at the last minute,1
at the last,1
at the hip with,1
at sea and clearly,1
at sea and,1
at sea,1
at russia for bit,1
at loss,1
at liverpool if advance,1
at liverpool if,1
at liverpool,1
at least youre not,1
at least youre,1
at least you have,1
at least you,1
at least when my,1
at least when,1
at least we make,1
at least we,1
at least try to,1
at least try,1
at least to warn,1
at least to,1
at least they lose,1
at least they,1
at least the status,1
at least the first,1
at least the,1
at loss as,1
at loss as to,1
at me,1
at moving into,1
at russia for,1
at russia,1
at once which will,1
at once which,1
at once,1
at odds,1
at my expense,1
at my,1
at moving into the,1
at moving,1
at me and,1
at most two units,1
at most two,1
at most,1
at minimum and if,1
at minimum and,1
at minimum,1
at me with lepanto,1
at me with,1
at me and you,1
at the start including,1
at the very,1
at the very least,1
at work trying to,1
atlantic for turn we,1
atlantic for turn,1
atlantic for,1
atlantic fleet and instead,1
atlantic fleet and,1
atlantic fleet,1
atlantic english channel and,1
atlantic english channel,1
atlantic english,1
atlantic,1
at your orders,1
at your disposal in,1
at your disposal,1
at your,1
at you too ll,1
at you too,1
at you,1
at worst you ll,1
at worst you,1
at worst he takes,1
at worst he,1
atlantic on,1
atlantic on the,1
atlantic on the same,1
attack again,1
attack austria and,1
attack austria,1
attack are italy and,1
attack are italy,1
attack are,1
attack and not tell,1
attack and not,1
attack and,1
attack again yes,1
attack,1
atlantic so,1
atlantic which would confuse,1
atlantic which would,1
atlantic which,1
atlantic to poke brest,1
atlantic to poke,1
atlantic to get out,1
atlantic to get,1
atlantic to,1
atlantic so far,1
at worst,1
at work trying,1
at them,1
at work have low,1
at this point while,1
at this point which,1
at this point we,1
at this point than,1
at this point support,1
at this point so,1
at this point russia,1
at this point regarding,1
at this point isn,1
at this point is,1
at this point if,1
at this point haha,1
at this point down,1
at this point don,1
at this point but,1
at this point,1
at this map its,1
at this map,1
at this game germany,1
at this game,1
at this,1
at this point with,1
at this right,1
at traditional,1
at which,1
at work have,1
at work,1
at with this,1
at with,1
at whittling that count,1
at whittling that,1
at whittling,1
at which every player,1
at which every,1
at war with eurasia,1
at traditional boring,1
at war with,1
at war,1
at venice and then,1
at venice and,1
at venice,1
at truce for now,1
at truce for,1
at truce,1
at traditional boring turkish,1
attacking italy or no,1
attacking italy this year,1
as honest and clear,1
austria have,1
austria has stabbed,1
austria has pretty good,1
austria has pretty,1
austria has been valuable,1
austria has been,1
austria has asked me,1
austria has asked,1
austria has any sort,1
austria has any,1
austria has,1
austria going to be,1
austria going to,1
austria going,1
austria goes after germany,1
austria goes after,1
austria goes,1
austria getting builds while,1
austria getting builds,1
austria getting,1
austria get attacked from,1
austria get attacked,1
austria has stabbed everyone,1
austria have talked,1
austria could ve held,1
austria have talked about,1
austria is definitely after,1
austria is definitely,1
austria is already in,1
austria is already,1
austria is,1
austria interests are probably,1
austria interests are,1
austria interests,1
austria im screwed,1
austria im,1
austria if you dont,1
austria if you,1
austria if all goes,1
austria if all,1
austria if,1
austria honestly generally if,1
austria honestly generally,1
austria honestly,1
austria helps your side,1
austria helps your,1
austria helps,1
austria get,1
austria germany it generally,1
austria germany it,1
austria germany,1
austria england and go,1
austria england and,1
austria england,1
austria either needs to,1
austria either needs,1
austria either,1
austria doesnt get build,1
austria doesnt get,1
austria doesnt,1
austria disbands,1
austria didn want him,1
austria didn want,1
austria didn,1
austria did start to,1
austria did start,1
austria did,1
austria decides to stop,1
austria decides to,1
austria decides,1
austria decided to hit,1
austria decided to,1
austria first,1
austria first turkey,1
austria first turkey next,1
austria from continuing,1
austria gains momentum,1
austria gains,1
austria gain to bulgaria,1
austria gain to,1
austria gain,1
austria front,1
austria from rolling over,1
austria from rolling,1
austria from continuing to,1
austria from,1
austria fleet,1
austria freak out and,1
austria freak out,1
austria freak,1
austria for supply centers,1
austria for supply,1
austria for mos,1
austria for,1
austria fleet together for,1
austria fleet together,1
austria is going,1
austria is going after,1
austria is gonna,1
austria moving into,1
austria or decide to,1
austria or decide,1
austria or as italy,1
austria or as,1
austria or,1
austria once the solo,1
austria once the,1
austria once,1
austria obviously spoiling for,1
austria obviously spoiling,1
austria obviously,1
austria now,1
austria not against an,1
austria not against,1
austria not,1
austria nor have intentions,1
austria nor have,1
austria nor,1
austria much at all,1
austria much at,1
austria much,1
austria or russia,1
austria or russia hanging,1
austria or russia or,1
austria ruined my,1
austria second front and,1
austria second front,1
austria second,1
austria russia is pretty,1
austria russia is,1
austria russia collaboration isn,1
austria russia collaboration,1
austria russia,1
austria ruined my attack,1
austria ruined,1
austria or turkey,1
austria quickly or cut,1
austria quickly or,1
austria quickly and then,1
austria quickly and,1
austria quickly,1
austria out of the,1
austria out of,1
austria out,1
austria or turkey its,1
austria moving into tyr,1
austria moving,1
austria is gonna win,1
austria moves galicia to,1
austria is talking,1
austria is supporting ven,1
austria is supporting,1
austria is still on,1
austria is still,1
austria is solely focused,1
austria is solely,1
austria is out of,1
austria is out,1
austria is one of,1
austria is one,1
austria is not gonna,1
austria is not,1
austria is my least,1
austria is my,1
austria is mad at,1
austria is mad,1
austria is lying to,1
austria is lying,1
austria is literally spaces,1
austria is literally,1
austria is talking to,1
austria is usually,1
austria is usually self,1
austria may,1
austria moves galicia,1
austria moves,1
austria might have seen,1
austria might have,1
austria might deploy full,1
austria might deploy,1
austria might,1
austria may be my,1
austria may be,1
austria like,1
austria italy,1
austria letting me have,1
austria letting me,1
austria letting,1
austria just wanted to,1
austria just wanted,1
austria just in time,1
austria just in,1
austria just,1
austria joins,1
austria decided,1
austria could ve,1
attacking mar,1
attempting,1
attempted disrupts from,1
attempted disrupts,1
attempted,1
attempt to trick austria,1
attempt to trick,1
attempt to,1
attempt munich this turn,1
attempt munich this,1
attempt munich,1
attempt,1
attainable by you in,1
attainable by you,1
attainable by,1
attainable,1
attacks norway before taking,1
attacks norway before,1
attacks norway,1
attacks,1
attacking your two natural,1
attacking your two,1
attacking your,1
attempted disrupts from tyr,1
attempting to,1
austria could try to,1
attempting to convince,1
attention to it,1
attention to,1
attention on russia,1
attention on,1
attention it would mean,1
attention it would,1
attention it,1
attention is likely to,1
attention is likely,1
attention is,1
attention haha,1
attention,1
attendant noise and the,1
attendant noise and,1
attendant noise,1
attendant,1
attempting to move on,1
attempting to move,1
attempting to have some,1
attempting to have,1
attempting to convince the,1
attacking you with my,1
attacking you with,1
attacking you which is,1
attacking you which,1
attacking russia elsewhere,1
attacking russia,1
attacking pie directly,1
attacking pie,1
attacking my island in,1
attacking my island,1
attacking my,1
attacking munich so let,1
attacking munich so,1
attacking munich,1
attacking me with that,1
attacking me with,1
attacking me once russia,1
attacking me once,1
attacking me is multi,1
attacking me is,1
attacking me because of,1
attacking me because,1
attacking me,1
attacking mar because that,1
attacking mar because,1
attacking serbia,1
attacking serbia without,1
attacking serbia without support,1
attacking vie to keep,1
attacking you right now,1
attacking you right,1
attacking you or me,1
attacking you or,1
attacking you in the,1
attacking you in,1
attacking you don and,1
attacking you don,1
attacking you,1
attacking vie to,1
attacking the,1
attacking vie,1
attacking turkey with austria,1
attacking turkey with,1
attacking turkey just,1
attacking turkey,1
attacking toward the east,1
attacking toward,1
attacking the british is,1
attacking the british,1
attention to it to,1
attention to the,1
attention to the north,1
austria and turkey which,1
austria been quiet,1
austria been,1
austria at this point,1
austria at this,1
austria at the same,1
austria at the,1
austria at all yet,1
austria at all,1
austria at,1
austria as soon as,1
austria as soon,1
austria as recommendation and,1
austria as recommendation,1
austria as,1
austria armies in ser,1
austria armies in,1
austria armies,1
austria are you willing,1
austria are you,1
austria are,1
austria and will move,1
austria been quiet all,1
austria build in,1
austria build in trieste,1
austria but theres,1
austria could try,1
austria could,1
austria checking in and,1
austria checking in,1
austria checking,1
austria by surprise with,1
austria by surprise,1
austria by,1
austria but theres only,1
austria but if you,1
austria built,1
austria but if,1
austria but his terms,1
austria but his,1
austria but he made,1
austria but before winter,1
austria but before,1
austria but,1
austria built an army,1
austria built an,1
austria and will,1
austria and turkey into,1
attention to this,1
austria and turkey can,1
austria alliance cuts,1
austria alliance,1
austria all out asap,1
austria all out,1
austria all,1
austria against turkey if,1
austria against turkey,1
austria against,1
austria again,1
austria about done,1
austria about,1
austrai and turkey team,1
austrai and,1
austrai,1
august in person game,1
august in person,1
august in,1
august,1
attention yet,1
attention to this rn,1
attention to this game,1
austria alliance cuts me,1
austria along,1
austria along as,1
austria and my,1
austria and turkey at,1
austria and turkey are,1
austria and turkey,1
austria and then russia,1
austria and then,1
austria and russia teaming,1
austria and russia and,1
austria and russia,1
austria and my ally,1
austria and italy to,1
austria along as long,1
austria and italy are,1
austria and italy,1
austria and it will,1
austria and it,1
austria and have,1
austria and france,1
austria and dont have,1
austria and dont,1
austria and,1
at least supply centers,1
at least supply,1
at least slow him,1
as well and,1
as well after,1
as well,1
as we take one,1
as we take,1
as we start assuming,1
as we start,1
as we share no,1
as we share,1
as we pull ahead,1
as we pull,1
as we don stab,1
as we don,1
as we discussed before,1
as we discussed,1
as we could have,1
as we could,1
as we can if,1
as we can figure,1
as we can,1
as we,1
as way to get,1
as well after they,1
as well and we,1
as there little payoff,1
as well as,1
as well pru sil,1
as well pru,1
as well or have,1
as well or,1
as well move stuff,1
as well move,1
as well messed up,1
as well messed,1
as well it would,1
as well it,1
as well if you,1
as well if,1
as well have ni,1
as well have,1
as well doing everything,1
as well doing,1
as well but the,1
as well but,1
as well as you,1
as well as mine,1
as well as and,1
as way to,1
as way,1
as warned you before,1
as warned you,1
as though they,1
as though,1
as this past season,1
as this past,1
as this,1
as think my endgame,1
as think my,1
as think,1
as things stand then,1
as things stand,1
as things,1
as thin but you,1
as thin but,1
as thin,1
as they re at,1
as they re,1
as they can quite,1
as they can,1
as they arise,1
as they already have,1
as they already,1
as though they were,1
as to,1
as to have,1
as too,1
as warned,1
as ve been very,1
as ve been,1
as ve,1
as truth or lie,1
as truth or,1
as truth,1
as too good player,1
as too good,1
as to your thoughts,1
as to have him,1
as to your,1
as to what to,1
as to what,1
as to think your,1
as to think,1
as to that fact,1
as to that,1
as to support my,1
as to support,1
as well so,1
as well so if,1
as well the,1
as your,1
aside and elliminate austria,1
aside and elliminate,1
aside and,1
aside,1
ascertain his moves and,1
ascertain his moves,1
ascertain his,1
ascertain,1
asap to execute the,1
asap to execute,1
asap to,1
asap so you can,1
asap so you,1
asap so,1
asap but even slight,1
asap but even,1
asap but,1
asap,1
as your on board,1
as your on,1
as your defense and,1
aside from,1
aside from france,1
aside from france making,1
ask england anything,1
ask him but,1
ask him,1
ask france to tap,1
ask france to,1
ask france,1
ask for concession as,1
ask for concession,1
ask for,1
ask england anything to,1
ask england,1
aside from greece,1
ask,1
aside from the initial,1
aside from the fact,1
aside from the,1
aside from that those,1
aside from that,1
aside from me and,1
aside from me,1
aside from greece and,1
as your defense,1
as you were taking,1
as well the turks,1
as you were,1
as you know,1
as you have one,1
as you have,1
as you give the,1
as you give,1
as you gain from,1
as you gain,1
as you can cover,1
as you can,1
as you and england,1
as you and,1
as you,1
as would teach him,1
as would teach,1
as would have loved,1
as would have,1
as would,1
as weve gone,1
as weve,1
as well they may,1
as well they,1
as you know try,1
as you ll,1
as you ll help,1
as you see fit,1
as you ve requested,1
as you ve got,1
as you ve,1
as you support me,1
as you support,1
as you stay in,1
as you stay,1
as you stab them,1
as you stab,1
as you see,1
as you may,1
as you say you,1
as you say,1
as you put in,1
as you put,1
as you pick russia,1
as you pick,1
as you me and,1
as you me,1
as you may have,1
as they,1
as there little,1
at least slow,1
as much but,1
as much attention,1
as much as would,1
as much as mine,1
as much as can,1
as much as,1
as much,1
as most of my,1
as most of,1
as most,1
as mine so ll,1
as mine so,1
as mine hahah,1
as mine,1
as mentioned specifically because,1
as mentioned specifically,1
as mentioned,1
as long as your,1
as long as you,1
as long as we,1
as long as they,1
as long as there,1
as much attention to,1
as much but want,1
as there an attack,1
as my,1
as normal anyways,1
as normal,1
as neutral territory and,1
as neutral territory,1
as neutral,1
as neither you nor,1
as neither you,1
as neither of us,1
as neither of,1
as neither,1
as needed,1
as need to pay,1
as need to,1
as need,1
as naturally suited antagonists,1
as naturally suited,1
as naturally,1
as my units will,1
as my units,1
as my discussion with,1
as my discussion,1
as long as possible,1
as long as neither,1
as long as he,1
as long as dont,1
as interesting with,1
as interesting,1
as intently working 14,1
as intently working,1
as intently,1
as intend it to,1
as intend it,1
as intend,1
as in he got,1
as in he,1
as in,1
as if my lying,1
as if my,1
as if havent received,1
as if havent,1
as if,1
as id just bounce,1
as id just,1
as id,1
as hostile action,1
as hostile,1
as interesting with one,1
as is,1
as is an,1
as italy is,1
as long as can,1
as long as am,1
as long as after,1
as long as,1
as long,1
as like,1
as italy working with,1
as italy working,1
as italy is kind,1
as italy,1
as is an opening,1
as it won be,1
as it was,1
as it stands just,1
as it stands,1
as it means that,1
as it means,1
as it can possibly,1
as it can,1
as it,1
as now,1
as now turn,1
as now turn behind,1
as shit need,1
as strong as,1
as strong anti england,1
as strong anti,1
as strong,1
as sort of home,1
as sort of,1
as sort,1
as soon as you,1
as soon as we,1
as soon as possible,1
as soon as,1
as soon,1
as sign of trust,1
as sign of,1
as sign,1
as show of good,1
as show of,1
as show,1
as should because don,1
as should because,1
as should,1
as strong as possible,1
as support,1
as sure,1
as that would,1
as there an,1
as there,1
as them,1
as the poker saying,1
as the poker,1
as the person who,1
as the person,1
as the,1
as that would keep,1
as that will,1
as sure you,1
as that the safest,1
as that the,1
as that territory is,1
as that territory,1
as that,1
as technically correct malicious,1
as technically correct,1
as technically,1
as sure you know,1
as shit need austria,1
as shit,1
as of,1
as retreat space as,1
as possible so,1
as possible and is,1
as possible and,1
as possible,1
as player,1
as planned it seems,1
as planned it,1
as planned,1
as pawn in that,1
as pawn in,1
as pawn by the,1
as pawn by,1
as pawn,1
as one power,1
as one,1
as often as like,1
as often as,1
as often,1
as of yet,1
as of right now,1
as of right,1
as possible so we,1
as possible while,1
as possible while austria,1
as recall but,1
as retreat space,1
as retreat,1
as result will probably,1
as result will,1
as result,1
as recommendation and thought,1
as recommendation and,1
as recommendation,1
as recall but its,1
as recall,1
as possible while simultaneously,1
as proxy unit for,1
as proxy unit,1
as proxy,1
as protection against that,1
as protection against,1
as protection,1
as proposed,1
as possible without raising,1
as possible without,1
ask him but given,1
ask him too,1
ask how,1
at all and,1
at all about,1
at all,1
at 1910 though as,1
at 1910 though,1
at 1910,1
at 11 or 12,1
at 11 or,1
at 11,1
at,1
assured me emphatically that,1
assured me emphatically,1
assured me,1
assured france wasn waiting,1
assured france wasn,1
assured france,1
assured destruction,1
assured,1
assure others we are,1
assure others we,1
assure others,1
assure,1
at all about defending,1
at all and the,1
ask how your,1
at all then,1
at but,1
at belgium,1
at bay until they,1
at bay until,1
at bay,1
at any time so,1
at any time,1
at any moment and,1
at any moment,1
at any,1
at and would prefer,1
at and would,1
at and clearly need,1
at and clearly,1
at and,1
at an ai,1
at an,1
at all yet,1
at all with england,1
at all with,1
at all then dont,1
assumptions about,1
assumptions,1
assumption so the orders,1
assumption so the,1
assuming that,1
assuming so literally wont,1
assuming so literally,1
assuming so,1
assuming retreat to ska,1
assuming retreat to,1
assuming retreat,1
assuming england italy want,1
assuming england italy,1
assuming england,1
assuming,1
assumed you were going,1
assumed you were,1
assumed you,1
assumed he open standard,1
assumed he open,1
assumed he,1
assumed,1
assume youre giving up,1
assume youre giving,1
assume youre,1
assuming that after,1
assuming that their,1
assuming that their positioning,1
assuming you go spain,1
assumption so,1
assumption,1
assuming youre responding to,1
assuming youre responding,1
assuming youre,1
assuming you ve got,1
assuming you ve,1
assuming you re suggesting,1
assuming you re,1
assuming you go,1
assuming that you,1
assuming you do build,1
assuming you do,1
assuming you,1
assuming the loss of,1
assuming the loss,1
assuming the,1
assuming that you remain,1
assuming that you don,1
assuming that you and,1
at but it,1
at but it still,1
at but think,1
at it all,1
at least good enough,1
at least good,1
at least get germany,1
at least get,1
at least for year,1
at least for,1
at least eng fra,1
at least eng,1
at least dmz bur,1
at least dmz,1
at least couple seasons,1
at least couple,1
at least clear,1
at least briefly,1
at least block them,1
at least block,1
at least,1
at it is that,1
at it is,1
at it from your,1
at it from,1
at least hasnt,1
at least hasnt made,1
at least havent,1
at least one,1
at least restored to,1
at least restored,1
at least reasonably friendly,1
at least reasonably,1
at least passive aggressive,1
at least passive,1
at least or their,1
at least or,1
at least one army,1
at least now you,1
at least havent provided,1
at least now,1
at least long enough,1
at least long,1
at least lie about,1
at least lie,1
at least let me,1
at least let,1
at least in spring,1
at least in,1
at it all after,1
at it again in,1
at but think move,1
at it again,1
at france,1
at first,1
at england for being,1
at england for,1
at england and it,1
at england and,1
at england,1
at either winning or,1
at either winning,1
at either bur or,1
at either bur,1
at either,1
at each other throats,1
at each other,1
at each,1
at conference for work,1
at conference for,1
at conference,1
at centers and won,1
at centers and,1
at centers,1
at france as,1
at france as well,1
at france right,1
at his back,1
at it,1
at influencing people on,1
at influencing people,1
at influencing,1
at in the east,1
at in the,1
at in,1
at his word but,1
at his word,1
at his,1
at france right now,1
at him but noted,1
at him but,1
at him,1
at getting venice back,1
at getting venice,1
at getting,1
at german ally building,1
at german ally,1
at german,1
assume you wouldn like,1
assume you wouldn,1
assume you ve negotiated,1
asked if could wait,1
asked the,1
asked russia not to,1
asked russia not,1
asked russia,1
asked me why your,1
asked me why,1
asked me what want,1
asked me what thought,1
asked me what,1
asked me to move,1
asked me to do,1
asked me to coordinate,1
asked me to,1
asked me if they,1
asked me if,1
asked me and told,1
asked me,1
asked lot about terms,1
asked lot about,1
asked lot,1
asked if there was,1
asked the turks,1
asked the turks if,1
asked them,1
asked you to get,1
asking for,1
asking austria to do,1
asking austria to,1
asking austria,1
asking about our relations,1
asking about our,1
asking about,1
asking,1
asked you to work,1
asked you to,1
asked them for,1
asked you about it,1
asked you about,1
asked you,1
asked to work against,1
asked to work,1
asked to do yet,1
asked to do,1
asked to,1
asked them for some,1
asked if there,1
asked if could,1
asking honestly,1
asked if,1
ask them if,1
ask them,1
ask that you consider,1
ask that you,1
ask that,1
ask italy to move,1
ask italy to,1
ask italy or germany,1
ask italy or,1
ask italy for any,1
ask italy for,1
ask italy,1
ask ill fix it,1
ask ill fix,1
ask ill,1
ask if you have,1
ask if you,1
ask if italy has,1
ask if italy,1
ask if,1
ask how your three,1
ask what,1
ask what you,1
ask what you re,1
asked for,1
asked him to support,1
asked him to,1
asked him,1
asked for your help,1
asked for your,1
asked for or discussed,1
asked for or,1
asked for dmz in,1
asked for dmz,1
asked but italy told,1
ask you,1
asked but italy,1
asked but,1
asked,1
ask you to do,1
ask you to,1
ask you the same,1
ask you the,1
ask you not to,1
ask you not,1
asking for real,1
asking honestly what,1
assume you ve,1
assault,1
assume its going,1
assume its,1
assume,1
assistance into belgium not,1
assistance into belgium,1
assistance into,1
assistance but it looks,1
assistance but it,1
assistance but,1
assistance against you,1
assistance against england,1
assistance against,1
assistance,1
assist with taking sweden,1
assist with taking,1
assist with,1
assist,1
asshole behavior,1
asshole,1
assault then turkey would,1
assault then turkey,1
assume its going after,1
assume others,1
assume others are,1
assume they are talking,1
assume you re going,1
assume you re,1
assume you,1
assume we would restart,1
assume we would,1
assume we,1
assume those builds will,1
assume those builds,1
assume those,1
assume they are,1
assume others are like,1
assume they,1
assume that we both,1
assume that we,1
assume that they re,1
assume that they,1
assume that,1
assume since havent heard,1
assume since havent,1
assume since,1
assault then,1
ass,1
asking honestly what are,1
aspersions but what will,1
asking though,1
asking russia to support,1
asking russia to,1
asking russia,1
asking one of my,1
asking one of,1
asking one,1
asking me to use,1
asking me to take,1
asking me to support,1
asking me to help,1
asking me to,1
asking me not,1
asking me if that,1
asking me if,1
asking me about my,1
asking me about,1
asking me,1
asking if interested in,1
asking if interested,1
asking if,1
asking though what,1
asking though what are,1
asking whole,1
asleep before,1
aspersions but what,1
aspersions but,1
aspersions,1
aspect in any case,1
aspect in any,1
aspect in,1
aspect,1
asleep before getting this,1
asleep before getting,1
asleep,1
asking whole lot,1
asks me,1
asks,1
asking you to help,1
asking you to,1
asking you,1
asking why the bounce,1
asking why the,1
asking why,1
asking whole lot considering,1
fast then,1
fast then my,1
fast then my natural,1
italy fast then,1
italy explain why,1
italy explain,1
italy ends up with,1
italy ends up,1
italy ends,1
italy doing lepanto and,1
italy doing lepanto,1
italy doing,1
italy doesnt strike me,1
italy doesnt strike,1
italy doesnt bypass austria,1
italy doesnt bypass,1
italy doesnt,1
italy doesn try the,1
italy doesn try,1
italy doesn trust him,1
italy doesn trust,1
italy doesn tell me,1
italy doesn tell,1
italy doesn,1
italy does,1
italy fast,1
italy fast then my,1
italy austria and,1
italy for,1
italy has been,1
italy has an army,1
italy has an,1
italy has agreed to,1
italy has agreed,1
italy greece is,1
italy gonna try rearranging,1
italy gonna try,1
italy going west at,1
italy going after sevastopol,1
italy going after,1
italy going,1
italy gets greece and,1
italy gets greece,1
italy gets,1
italy from any,1
italy from,1
italy for the east,1
italy for the,1
italy for any update,1
italy for any,1
italy didn go anywhere,1
italy didn go,1
italy didn,1
italy did help austria,1
italy can,1
italy but think that,1
italy but think,1
italy but that seems,1
italy but that,1
italy but no matter,1
italy but no,1
italy but,1
italy bunch turkey little,1
italy bunch turkey,1
italy bunch,1
italy because dont really,1
italy because dont,1
italy because don think,1
italy because don,1
italy because,1
italy back into the,1
italy back into,1
italy back,1
italy away from austria,1
italy away from,1
italy can make,1
italy can make bounce,1
italy can tho,1
italy committed to helping,1
italy did help,1
italy did,1
italy could potentially swipe,1
italy could potentially,1
italy could have stabbed,1
italy could have,1
italy could,1
italy confirmed that they,1
italy confirmed that,1
italy committed to,1
italy cant,1
italy committed,1
italy coming after iberia,1
italy coming after,1
italy coming,1
italy clearly wants us,1
italy clearly wants,1
italy clearly,1
italy cant guarantee build,1
italy cant guarantee,1
italy has been sending,1
italy has ground,1
italy has ground to,1
italy is planning,1
italy let,1
italy knows if they,1
italy knows if,1
italy just said,1
italy just blabbers on,1
italy just blabbers,1
italy just,1
italy janissary,1
italy is vile,1
italy is turning down,1
italy is trying,1
italy is truly,1
italy is the only,1
italy is the,1
italy is sounding cautious,1
italy is sounding,1
italy is ready,1
italy is pulling two,1
italy is pulling,1
italy is pretty quiet,1
italy is pretty,1
italy let me,1
italy let me into,1
italy lied,1
italy long term that,1
italy off,1
italy not to go,1
italy not to,1
italy not,1
italy no,1
italy moves,1
italy may be headed,1
italy may be,1
italy may,1
italy long term,1
italy lied so,1
italy long,1
italy like to have,1
italy like to,1
italy like hopefully everyone,1
italy like hopefully,1
italy like at the,1
italy like at,1
italy like,1
italy lied so if,1
italy is planning something,1
italy is out of,1
italy has lost,1
italy is out,1
italy into,1
italy ignored youeither way,1
italy ignored youeither,1
italy ignored,1
italy if when germany,1
italy if when,1
italy if,1
italy hope we can,1
italy hope we,1
italy hope,1
italy help the italians,1
italy help the,1
italy help,1
italy have been the,1
italy have,1
italy has some moves,1
italy has some,1
italy has promised me,1
italy has lots of,1
italy has lots,1
italy has lost the,1
italy into our,1
italy into our alliance,1
italy into tyrol,1
italy is just,1
italy is on your,1
italy is on,1
italy is now saying,1
italy is now,1
italy is maintaining friendly,1
italy is maintaining,1
italy is kind of,1
italy is kind,1
italy is just letting,1
italy is interesting,1
italy is,1
italy is in trl,1
italy is in,1
italy is going to,1
italy is getting testy,1
italy is getting,1
italy is dealt with,1
italy is dealt,1
italy is aware also,1
italy is aware,1
italy austria and have,1
italy austria,1
italy off of me,1
it would upset him,1
it would that have,1
it would that,1
it would probably be,1
it would probably,1
it would mean you,1
it would mean,1
it would matter to,1
it would make sense,1
it would instead,1
it would hurt for,1
it would hurt,1
it would help,1
it would have left,1
it would have been,1
it would have,1
it would be very,1
it would be so,1
it would be really,1
it would be pain,1
it would be nice,1
it would be much,1
it would upset,1
it would wipe,1
italy at this point,1
it would wipe most,1
it yours and ll,1
it yours and,1
it yours,1
it your self,1
it your,1
it you would,1
it you need the,1
it you need,1
it you ll easily,1
it you ll,1
it you have already,1
it you have,1
it you feel comfortable,1
it you feel,1
it you dont mind,1
it you dont,1
it you do when,1
it you do,1
it you,1
it yet,1
it yeah ill attack,1
it would be more,1
it would be lot,1
it would be interesting,1
it would be in,1
it worked could just,1
it worked could,1
it worked but those,1
it worked but,1
it worked,1
it won be great,1
it won be,1
it won,1
it without unit so,1
it without unit,1
it without,1
it with them,1
it with my prussian,1
it with my,1
it with me,1
it with,1
it will then vacate,1
it will then,1
it will take for,1
it will take,1
it will stay well,1
it working,1
it working is,1
it working is if,1
it would apply,1
it would be hard,1
it would be great,1
it would be good,1
it would be fairly,1
it would be easier,1
it would be difficult,1
it would be best,1
it would be bad,1
it would apply some,1
it would appear that,1
it works,1
it would appear,1
it worth italy,1
it worth it because,1
it worth it,1
it worth collaborating in,1
it worth collaborating,1
it worth,1
it works for me,1
it works for,1
italian,1
italian assistance,1
italian austrian,1
italy and austria at,1
italy and there you,1
italy and there,1
italy and shift my,1
italy and shift,1
italy and russia can,1
italy and russia at,1
italy and russia although,1
italy and russia,1
italy and not russia,1
italy and not,1
italy and im super,1
italy and im not,1
italy and im,1
italy and if you,1
italy and if,1
italy and france are,1
italy and france,1
italy and england in,1
italy and england first,1
italy and england,1
italy and austria that,1
italy and turkey,1
italy and turkey want,1
italy and will,1
italy are working together,1
italy at this,1
italy at the same,1
italy at the,1
italy at all,1
italy at,1
italy asked for dmz,1
italy as you know,1
italy as you,1
italy as,1
italy are working,1
italy and will be,1
italy are doing blue,1
italy are doing,1
italy are all planning,1
italy are all,1
italy are,1
italy anyway ll support,1
italy anyway ll,1
italy anyway,1
italy and would,1
italy and austria is,1
italy and austria about,1
italian austrian coalition,1
italy and austria,1
italians and,1
italians after that depending,1
italians after that,1
italians,1
italian withdrawal,1
italian support in,1
italian support,1
italian stab they are,1
italian stab they,1
italian stab,1
italian incoming invasion am,1
italian incoming invasion,1
italian for while if,1
italian for while,1
italian for,1
italian dots plus bud,1
italian dots plus,1
italian dots and the,1
italian dots and,1
italian dots,1
italian austrian coalition growing,1
italians and take,1
italians and take out,1
italians aren,1
italy all,1
italy and am waiting,1
italy and am,1
italy and agree to,1
italy and agree,1
italy and,1
italy also allows you,1
italy also allows,1
italy also,1
italy alliance,1
italy agreed,1
italians aren talking,1
italians would succeed at,1
italians on our,1
italians on,1
italians keep their word,1
italians keep their,1
italians keep,1
italians just start fight,1
italians have only,1
italians have,1
italy off of,1
italy offered,1
it will go south,1
its too risky not,1
its too,1
its to my advantage,1
its to my,1
its to,1
its time to go,1
its time to,1
its time,1
its suspicious move but,1
its suspicious move,1
its suspicious,1
its so so so,1
its so so,1
its so easy to,1
its so easy,1
its so,1
its really hard for,1
its really hard,1
its really,1
its possible the game,1
its possible the,1
its possible that you,1
its too risky,1
its up,1
its gonna,1
its up to,1
ive already set my,1
ive already,1
ive actually done,1
ive actually,1
ive,1
itself id just rather,1
itself,1
its your call,1
its your,1
its worth it to,1
its worth it,1
its worth is preferable,1
its worth is,1
