,frequency
make it slower,1
make it much harder,1
make it convincing enough,1
make it convincing,1
lyo tys tys,1
lyo if you re,1
lot about,1
lyo,1
love to sit down,1
love to sit,1
love to hear your,1
love to hear you,1
love to hear,1
love to demilitarize tyr,1
love to demilitarize,1
love to,1
love for us to,1
love for us,1
love for,1
love,1
lot considering how the,1
lot considering how,1
lot considering,1
lot about his personal,1
lot about his,1
low at this point,1
luck has to,1
luck in stopping,1
lvn,1
lying,1
lvn stp lvn and,1
lvn stp lvn,1
lvn stp,1
lvn and hol ruh,1
lvn and hol,1
lvn and,1
lucky as to have,1
luck in stopping that,1
lucky as to,1
lucky as,1
lucky,1
luck with regards to,1
luck with regards,1
luck with england,1
luck with,1
long or even going,1
long or even,1
long or,1
line,1
little mystery,1
little more subtle,1
little more,1
little frustrated with him,1
little frustrated with,1
little frustrated,1
little complicated but germany,1
little complicated but,1
little complicated,1
little building and get,1
little building and,1
little building,1
little bit disturbing if,1
little bit disturbing,1
literally in 1902,1
lines right now and,1
lines right now,1
little part,1
little part in,1
little part in that,1
ll be around,1
ll be more aware,1
ll be more,1
ll be driving for,1
ll be driving,1
ll be doing with,1
ll be doing,1
ll be around for,1
ll be,1
little time,1
ll,1
liverpool is safe because,1
liverpool is safe,1
liverpool is,1
liverpool,1
little time to think,1
little time to,1
lines right,1
likely to work given,1
ll do the,1
likely to work,1
like youll,1
like wouldn get any,1
like wouldn get,1
like wouldn,1
like what is he,1
like what is,1
like what,1
like we resolved that,1
like we,1
like very bold move,1
like very bold,1
like very,1
like to take it,1
like to take,1
like to help germany,1
like to help,1
like to discuss the,1
like youll be,1
like youll be fighting,1
like youve,1
likely explanation,1
likely to,1
likely outcome is get,1
likely outcome,1
likely have made the,1
likely have made,1
likely have,1
likely explanation for warsaw,1
likely case am just,1
like youve decided,1
likely case am,1
likely case,1
likely be explicitly helping,1
likely and youll,1
likely and,1
likely,1
like youve decided to,1
ll do,1
ll do the more,1
long most likely and,1
lock rather,1
london,1
lon yor lon,1
lon yor,1
lon to watch your,1
lon to watch,1
lon to,1
lon so they cant,1
lon so they,1
lon so,1
lon ec edi nth,1
lon ec edi,1
lol no,1
lol had,1
lock up italy from,1
lock up italy,1
lock up,1
lock rather than hope,1
london no,1
london no need,1
london no need for,1
long,1
long most likely,1
long most,1
long as the three,1
long as the,1
long as russia doesnt,1
long as russia,1
long as,1
london to denmark is,1
london taking,1
london to denmark,1
london to,1
london this turn and,1
london this turn,1
london this,1
london taking the north,1
london taking the,1
lock rather than,1
lobbying for him to,1
ll do with,1
lobbying for him,1
ll let,1
ll leave the austrians,1
ll leave the,1
ll leave it for,1
ll leave,1
ll hold off and,1
ll hold off,1
ll hold,1
ll have norway though,1
ll have norway,1
ll have much luck,1
ll have much,1
ll have,1
ll draw or maybe,1
ll draw or,1
ll draw,1
ll do with galicia,1
ll let you know,1
ll make,1
ll make it,1
lmao really,1
lobbying for,1
lobbying,1
lmao ve been talking,1
lmao ve been,1
lmao ve,1
lmao really not russia,1
lmao really not,1
lmao,1
ll make it slower,1
ll take mao,1
ll take,1
ll support you into,1
ll support you in,1
ll support you,1
ll support,1
ll see if,1
make whatever move sets,1
makes,1
makes it,1
me into serbia,1
me or yoy then,1
me or yoy,1
me or my gameplay,1
me or my,1
me off as,1
me much more,1
me much anymore,1
me much,1
me message that says,1
me message that,1
me know who,1
me know if youre,1
me know if you,1
me know if,1
me know,1
me into the north,1
me into the,1
me out,1
me out ton,1
me out ton last,1
me tell,1
me that he going,1
me that he,1
me that,1
me temporarily putting my,1
me temporarily putting,1
me temporarily,1
me tell you that,1
me some much needed,1
me sending,1
me some much,1
me some,1
me so that we,1
me so that,1
me so,1
me sending message and,1
me sending message,1
me into serbia move,1
me into gascony,1
me that supporting,1
me into burgundy,1
me but,1
me briefly and the,1
me bout it,1
me bout,1
me belgium this is,1
me belgium this,1
me belgium,1
me before trusting,1
me before any move,1
me because of,1
me because,1
me as too good,1
me as,1
me and will be,1
me and will,1
me and to,1
me and join against,1
me deep but,1
me from,1
me from bre,1
me in but,1
me into,1
me instead,1
me in to mar,1
me in to,1
me in the fall,1
me in the,1
me in but you,1
me in,1
me from finland,1
me how you really,1
me hinted that if,1
me hinted that,1
me hinted,1
me good player,1
me good,1
me going to wes,1
me that he is,1
me that supporting italy,1
me and,1
me which,1
mean thats strong position,1
mean thats strong,1
mean thats,1
mean that you basically,1
mean that you,1
mean that,1
mean really didn expect,1
mean dunno if,1
mean dunno,1
mean,1
me your moving out,1
me your,1
me you were going,1
me you were,1
me you,1
me wonder did you,1
me wonder,1
mean thats what,1
mean thats what were,1
mean the three,1
means at centers and,1
meant if,1
means yes,1
means of doing so,1
means of doing,1
means of,1
means nasty stalemate,1
means nasty,1
means at centers,1
mean the three of,1
means at,1
means,1
meaningful time frame and,1
meaningful time frame,1
mean what would have,1
mean what would,1
mean what,1
me who,1
me what your plans,1
me that you,1
me what your,1
me to go for,1
me to go,1
me to get build,1
me to england by,1
me to england,1
me to do differently,1
me to do,1
me to,1
me til monday,1
me til,1
me this game,1
me this,1
me theyre staying neutral,1
me theyre staying,1
me theyre,1
me that you were,1
me that you told,1
me to go tattle,1
me to have,1
me to imagine,1
me to think that,1
me what,1
me up to cut,1
me up to,1
me up in,1
me up,1
me too,1
me to trieste,1
me to think,1
me to imagine people,1
me to stab my,1
me to stab me,1
me to stab,1
me to send it,1
me to send,1
me to move to,1
me to move,1
me and join,1
me also know your,1
makes it seem,1
mao and one in,1
mar all hold,1
mar all,1
mar,1
map goes,1
map,1
mao willingly this turn,1
mao will take,1
mao will,1
mao via irish,1
mao this,1
mao pic bre wal,1
mao pic bre,1
mao pic,1
mao mos arm sev,1
mao mos arm,1
mao as,1
mao and putting your,1
mar are,1
mar are safe,1
mar but,1
marseilles be left open,1
marseilles it would,1
marseilles it,1
marseilles isn bad but,1
marseilles isn bad,1
marseilles isn,1
marseilles im basically cut,1
marseilles im basically,1
marseilles be,1
mar but want,1
marseilles,1
mark or an exclamation,1
mark or an,1
mark or,1
mark,1
mar can,1
mar but want spain,1
mao and putting,1
mao and one,1
masterfully,1
mao and,1
making push,1
making optimal disband decision,1
making optimal disband,1
making optimal,1
making no moves against,1
making no moves,1
making no,1
making,1
makes the most sense,1
makes the most,1
makes sense for,1
makes sense,1
makes more sense,1
makes me wonder did,1
makes me wonder,1
makes me,1
makes it seem more,1
making push for,1
making push for den,1
making whole,1
manipulate them,1
mao,1
manipulation of this entire,1
manipulation of this,1
manipulation of,1
manipulation,1
manipulate them into thinking,1
manipulate them into,1
manipulate,1
making whole slew,1
manageable size think then,1
manageable size think,1
manageable size,1
manageable,1
manage,1
man im not going,1
making whole slew of,1
marseilles it would upset,1
masterfully respect,1
me also know,1
maybe can make,1
maybe we convince russia,1
maybe we convince,1
maybe we,1
maybe want to pin,1
maybe want to,1
maybe want,1
maybe too likely case,1
maybe too likely,1
maybe too,1
maybe see to it,1
maybe see to,1
maybe see,1
maybe just doesnt want,1
maybe just doesnt,1
maybe just,1
maybe doesn want to,1
maybe cautious,1
maybe we don,1
maybe we don have,1
maybe you,1
me about this,1
me also,1
me all the time,1
me all the,1
me all,1
me alive down there,1
me alive down,1
me about this since,1
me about attacking russia,1
maybe you can,1
me about attacking,1
me about an alliance,1
me about an,1
me about,1
me,1
maybe you would,1
maybe you can get,1
maybe can make it,1
maybe can leverage that,1
masterfully respect my,1
maybe can leverage,1
may be able,1
may be,1
may actually have to,1
may actually have,1
may actually,1
may,1
matter what he told,1
matter what he,1
matter what happens except,1
matter what happens,1
matter what,1
matter of who has,1
matter of who,1
matter how,1
match up with the,1
match up,1
match,1
may be able to,1
may be great way,1
may be on,1
may suggest,1
maybe can,1
maybe,1
may tip the scales,1
may tip the,1
may tip,1
may suggest you attack,1
may suggest you,1
may need you supporting,1
may be on with,1
may need you,1
may need,1
may just want the,1
may just want,1
may have convinced,1
may have,1
may be safe,1
in the morning before,1
in the mood of,1
fleet and can,1
give up denmark this,1
give false info,1
give false,1
give away anything youve,1
give away anything,1
getting you back into,1
getting you back,1
getting you,1
getting too crazy in,1
getting too crazy,1
getting too,1
getting the best experience,1
getting the best,1
getting the,1
getting italy greece is,1
getting italy greece,1
getting italy,1
getting fed up with,1
give up and,1
give up their,1
going on with the,1
give up their guess,1
gives it,1
gives germany big hand,1
gives,1
given the builds we,1
given the builds,1
given the,1
given all the units,1
given all the,1
given all,1
given,1
give you mao willingly,1
give you mao,1
give you land and,1
give you land,1
give you,1
give up what we,1
give up what,1
getting fed up,1
getting devoured myself on,1
getting devoured myself,1
getting devoured,1
get your 5th build,1
get your 5th,1
get you turkish build,1
get us to fight,1
get us to,1
get us,1
get totally out of,1
get totally out,1
get totally,1
get to that when,1
get to that,1
get to take it,1
get to take,1
get to builds this,1
get things squared,1
get things,1
get there but have,1
gets,1
gets bamboozled,1
gets fleet,1
gets them build to,1
getting denmark,1
getting backstabbred by russia,1
getting backstabbred by,1
getting backstabbred,1
getting anything myself,1
getting anything,1
getting,1
gets them build,1
gets fleet into,1
gets them,1
gets sweden and st,1
gets sweden and,1
gets sweden,1
gets one build,1
gets one,1
gets fleet into stp,1
gives it shot,1
gives me,1
gives me belgium,1
go tattle to,1
god,1
goal is to get,1
goal and we didnt,1
goal and,1
goal,1
go to ruhr which,1
go to ruhr,1
go to nth from,1
go to nth,1
go to moscow as,1
go to moscow,1
go to albania instead,1
go to albania,1
go to,1
go the way it,1
go the way,1
go the,1
god and,1
god and could,1
god and could do,1
going after me or,1
going on,1
going from the english,1
going from the,1
going from,1
going austria just wanted,1
going austria just,1
going austria,1
going after me,1
goes,1
going after,1
going,1
goes to black sea,1
goes to black,1
goes to bel and,1
goes to bel,1
goes to,1
go tattle to you,1
go tattle,1
gives me belgium this,1
go situation but really,1
go back in,1
go back,1
go all the way,1
go all the,1
go all,1
go,1
glad you told me,1
glad you told,1
glad you,1
glad that you are,1
glad that you,1
glad that,1
glad,1
giving it to me,1
giving it to,1
giving it,1
giving,1
go back in and,1
go deal,1
go deal with,1
go from,1
go situation but,1
go situation,1
go north in the,1
go north in,1
go north,1
go from the top,1
go from the,1
go forward with anything,1
go deal with their,1
go forward with,1
go forward,1
go for mao,1
go for him in,1
go for him,1
go for galicia,1
go for,1
get there,1
get them to tell,1
get them to,1
germany is certainly,1
germany on your behalf,1
germany on your,1
germany on,1
germany move into swe,1
germany move into,1
germany move,1
germany just commented to,1
germany just commented,1
germany just,1
germany is open to,1
germany is open,1
germany is on board,1
germany is on,1
germany is keen on,1
germany is keen,1
germany is hella out,1
germany is hella,1
germany on your side,1
germany or,1
germany or are,1
germany to,1
germany who has,1
germany who,1
germany told me your,1
germany told me,1
germany told,1
germany to lay off,1
germany to lay,1
germany that was just,1
germany or are you,1
germany that was,1
germany that,1
germany shares lot about,1
germany shares lot,1
germany shares,1
germany or england in,1
germany or england,1
germany is certainly interested,1
germany is,1
germany will have,1
germany in bur,1
germany and want,1
germany and send way,1
germany and send,1
germany and britain tend,1
germany and britain,1
germany and austria for,1
germany and austria,1
germany and are past,1
germany and are,1
germany and,1
germany,1
german invasion in the,1
german invasion in,1
genuinely good for,1
genuinely,1
genuine,1
gent this weekend,1
germany as,1
germany as approached,1
germany as approached me,1
germany has,1
germany in,1
germany if,1
germany hoped would just,1
germany hoped would,1
germany hoped,1
germany has been good,1
germany has been,1
germany for long time,1
germany at,1
germany for long,1
germany for,1
germany big hand with,1
germany big hand,1
germany big,1
germany at england expense,1
germany at england,1
germany who has been,1
germany will have an,1
get them,1
get it,1
get out and,1
get out,1
get online again before,1
get online again,1
get online,1
get norway back but,1
get norway back,1
get norway,1
get my fleets into,1
get my fleets,1
get my,1
get me to think,1
get me to,1
get me some much,1
get me some,1
get me,1
get it until next,1
get out and you,1
get over,1
get over lagergate,1
get scooped by the,1
get the fleet out,1
get the,1
get stuck in,1
get stuck,1
get solo,1
get sev back in,1
get sev back,1
get scooped by,1
get over lagergate and,1
get scooped,1
get rid if them,1
get rid if,1
get rid,1
get par and mar,1
get par and,1
get par,1
get it until,1
get into burgundy where,1
germany will try to,1
get into burgundy,1
get back to me,1
get back to,1
get back,1
get any work done,1
get any work,1
get any,1
get antsy,1
get and more beneficial,1
get and more,1
get and,1
get along well with,1
get along well,1
get along,1
get,1
germany would support you,1
germany would support,1
germany would,1
get back to you,1
get bounced,1
get bounced from,1
get free of them,1
get into,1
get half of the,1
get half of,1
get half,1
get greece in season,1
get greece in,1
get greece,1
get free of,1
get bounced from uk,1
get free,1
get denmark back,1
get denmark,1
get builds,1
get build here though,1
get build here,1
get build,1
going on with,1
going south,1
has around but it,1
had expressed interest in,1
had expressed,1
had bit of learning,1
had bit of,1
had bit,1
had,1
ha its so easy,1
ha its so,1
ha its,1
ha,1
gym right now and,1
gym right now,1
gym right,1
gym,1
guys can put together,1
guys can put,1
guys can,1
guys,1
had expressed interest,1
had hoped,1
going south to,1
had hoped but will,1
had the right idea,1
had the opportunity to,1
had the heart to,1
had the heart,1
had the,1
had that germany would,1
had that germany,1
had plans to split,1
had plans to,1
had plans,1
had lost warsaw,1
had lost,1
had known where you,1
had known where,1
had italy betrayal moment,1
had italy betrayal,1
had italy,1
guy in paris,1
guilty for questioning,1
guilty,1
guessed that,1
guarantee,1
growth of austria and,1
growth of austria,1
growth of,1
growth,1
greece is significant since,1
greece is significant,1
greece is,1
greece in season or,1
greece in season,1
greece in,1
greece and bulgaria me,1
greece and bulgaria,1
greece and,1
greece,1
greatly appreciated if you,1
greatly appreciated if,1
guarantee berlin,1
guarantee berlin for,1
guarantee berlin for myself,1
guess its in,1
guessed,1
guess try to evacuate,1
guess try to,1
guess try,1
guess just based,1
guess just,1
guess its in your,1
guess its,1
guess,1
guess is that,1
guess is as good,1
guess is as,1
guess is,1
guess because requested that,1
guess because requested,1
guess because,1
had to,1
had to go,1
had to go the,1
happened,1
happy to attack rum,1
happy to accept this,1
happy to accept,1
happy,1
happens to me all,1
happens to me,1
happens to,1
happens should be in,1
happens should be,1
happens should,1
happens except if he,1
happens except if,1
happens except,1
happens,1
happening is if support,1
happening is if,1
happening is,1
happy to use,1
happy to use it,1
hard,1
harder for,1
has,1
harmony to bring the,1
harmony to bring,1
harmony to,1
harmony,1
harder for austria to,1
harder for austria,1
harder,1
hard feelings,1
hard to imagine he,1
hard to imagine,1
hard to,1
hard for me to,1
hard for,1
hard feelings against anyone,1
hard feelings against,1
happening,1
happen to turkey while,1
had us,1
happen to turkey,1
half of,1
half,1
hair so you can,1
hair so you,1
hair so,1
hair,1
hahah,1
haha whew,1
haha well turkey is,1
haha well turkey,1
haha well,1
haha,1
had you slated to,1
had you slated,1
had you,1
had us outgunned at,1
had us outgunned,1
half of the balkans,1
hand,1
hand over italy,1
handing,1
happen to,1
happen,1
handle the situation,1
handle the,1
handle,1
handing turkey supply,1
handing turkey,1
hand with attacking my,1
hand over italy all,1
hand with attacking,1
hand with,1
hand that depends on,1
hand that depends,1
hand that,1
hand over norway and,1
hand over norway,1
greatly appreciated,1
greatly,1
great way to while,1
going to tyr,1
gonna move,1
gonna last very long,1
gonna last very,1
gonna last,1
gonna have to think,1
gonna have to,1
gonna have,1
gonna happen to,1
gonna happen,1
gonna finish building this,1
gonna finish building,1
gonna finish,1
gonna,1
going west and getting,1
going west and,1
going west,1
going to wes,1
gonna move in,1
gonna move in deeper,1
gonna need,1
good can you get,1
good for me,1
good for,1
good enough to quickly,1
good enough to,1
good enough,1
good day hehe whichever,1
good day,1
good can,1
gonna need all,1
good as mine hahah,1
good as,1
good allies and was,1
good allies and,1
good allies,1
gonna roll,1
gonna need all the,1
going to tyr this,1
going to take smyrna,1
good for you,1
going to take denmark,1
going to do with,1
going to do,1
going to build units,1
going to build,1
going to be the,1
going to be party,1
going to be no,1
going to be moving,1
going to be going,1
going to be focused,1
going to be as,1
going to be,1
going to attack them,1
going to attack him,1
going to attack,1
going to,1
going south to the,1
going to do yet,1
going to easily,1
going to easily walk,1
going to shrink myself,1
going to take,1
going to sweden so,1
going to sweden,1
going to support either,1
going to support,1
going to spread lies,1
going to spread,1
going to shrink,1
going to go,1
going to retreat to,1
going to retreat,1
going to make go,1
going to have to,1
going to have,1
going to happen,1
going to go to,1
good for me to,1
good for you especially,1
great way to,1
got me,1
grab your neutrals this,1
grab your neutrals,1
grab your,1
grab,1
gotta play it cool,1
gotta play it,1
gotta play,1
gotta,1
got used to the,1
got used to,1
got used,1
got stabbed by russia,1
got stabbed by,1
got stabbed,1
got some ideas,1
got some,1
got me to stab,1
grand,1
grand convoy,1
grand convoy of,1
great dude but dont,1
great way,1
great for us,1
great for me but,1
great for me,1
great for both of,1
great for both,1
great for,1
great dude but,1
grand convoy of 1910,1
great dude,1
great call here and,1
great call here,1
great call,1
great,1
gre open,1
gre,1
got me to,1
got,1
good friend,1
good work on holding,1
good position against turkey,1
good position against,1
good position,1
good player to,1
good player or smooth,1
good player or,1
good player,1
good on the agreement,1
good on the,1
good on,1
good night or,1
good night,1
good luck in stopping,1
good luck,1
good hold for me,1
good friend for me,1
good friend for,1
good position for,1
good position for stab,1
good strategy,1
good to me,1
good work on,1
good work,1
good with me,1
good with,1
good to see you,1
good to see,1
good to me but,1
good to,1
good terms,1
good thing forgot to,1
good thing forgot,1
good thing,1
good their positioning,1
good their,1
good terms with your,1
good terms with,1
gent this,1
gent,1
general train of thought,1
for this season,1
for them to get,1
for them to,1
for them,1
for the tri unit,1
for the tri,1
for the time being,1
for the time,1
for the support need,1
for the support,1
for the record told,1
for the record,1
for the plan to,1
for the plan,1
for the one directly,1
for the one,1
for the lepanto and,1
for the lepanto,1
for this,1
for this season but,1
general train of,1
for this year,1
for warsaw,1
for us to work,1
for us to start,1
for us to consider,1
for us to,1
for us bit,1
for us,1
for understanding and hope,1
for understanding and,1
for ukraine again makes,1
for ukraine again,1
for ukraine,1
for two reasons,1
for two,1
for turkey,1
for tomorrow,1
for this year and,1
for the info,1
for the in person,1
for the in,1
for the future,1
for replies,1
for rebuild if there,1
for rebuild if,1
for rebuild,1
for questioning him,1
for questioning,1
for personal reasons,1
for personal,1
for out german invasion,1
for out german,1
for out,1
for one of them,1
for one of,1
for one,1
for now,1
for next winter,1
for next,1
for replies from,1
for replies from italy,1
for rum,1
for spring chicken,1
for the convoy and,1
for the convoy,1
for that matter,1
for that,1
for such and such,1
for such and,1
for stab,1
for spring,1
for rum at,1
for something and not,1
for something and,1
for something,1
for some secondary evidence,1
for some secondary,1
for some,1
for rum at the,1
for while,1
for while but,1
for while but may,1
forward to discussing,1
france and england,1
france and,1
france about that,1
france about,1
france,1
frame and austria going,1
frame and austria,1
frame and,1
frame,1
forwards right now,1
forwards right,1
forwards,1
forward with anything else,1
forward with anything,1
forward with,1
forward to working with,1
forward to working,1
france and england are,1
france and russia just,1
france and then,1
france but pretty sure,1
france gives,1
france first and see,1
france first and,1
france first,1
france england or russia,1
france england or,1
france england,1
france but pretty,1
france and then being,1
france bit and,1
france at all this,1
france at all,1
france at,1
france are working together,1
france are working,1
france are,1
forward to discussing them,1
forward to,1
for you,1
forward it with you,1
forces them to join,1
forces them to,1
forces them,1
forces,1
for your thoughts,1
for your,1
for you what does,1
for you what,1
for you to support,1
for you to feel,1
for you than,1
for you is that,1
for you into rum,1
for you into,1
for you especially with,1
for you especially,1
for you ability,1
forces which,1
forces which means,1
forces which means nasty,1
forgot to,1
forward it with,1
forward it,1
forward,1
forum post,1
forum,1
forgot to go back,1
forgot to go,1
forgot,1
forget,1
forgive and forget thought,1
forgive and forget,1
forgive and,1
forgive,1
forget thought offer you,1
forget thought offer,1
forget thought,1
for myself and instead,1
for myself and,1
for myself,1
fleets into the med,1
flirt with female instead,1
flirt with female,1
flirt with,1
flirt,1
flip sides on the,1
flip sides on,1
flip sides,1
flip,1
flexible and if it,1
flexible and if,1
flexible and,1
flexible,1
fleets would be the,1
fleets would be,1
fleets would,1
fleets past the lines,1
fleets past the,1
focus,1
focus on,1
focus on battening,1
focusing on,1
follow this,1
follow,1
foe kill two birds,1
foe kill two,1
foe kill,1
foe,1
focusing on it,1
focused on the south,1
focus on battening down,1
focused on the,1
focused on,1
focused,1
focus our combine attention,1
focus our combine,1
focus our,1
focus on france,1
fleets past,1
fleets into the,1
follow through,1
fleets into,1
fleet in ska,1
fleet in sevastopol either,1
fleet in sevastopol,1
fleet in nth,1
fleet in marseilles it,1
fleet in marseilles,1
fleet in london taking,1
fleet in london,1
fleet in edinburgh,1
fleet in constantinople to,1
fleet in constantinople,1
fleet in brest but,1
fleet for that,1
fleet for,1
fleet as mentioned specifically,1
fleet as mentioned,1
fleet as,1
fleet in ska in,1
fleet in the,1
fleet in the med,1
fleet to,1
fleets as well and,1
fleets as well,1
fleets,1
fleet to mao and,1
fleet to mao,1
fleet to go to,1
fleet to go,1
fleet so be it,1
fleet into,1
fleet so be,1
fleet so,1
fleet sev rum and,1
fleet sev rum,1
fleet sev,1
fleet out of the,1
fleet out,1
follow this sort of,1
follow through with,1
for moving away from,1
for example you might,1
for long,1
for him to go,1
for him to,1
for him in spring,1
for him in,1
for him,1
for game and for,1
for game and,1
for galicia,1
for future play then,1
for future play,1
for future,1
for full transparency going,1
for full transparency,1
for full,1
for fall and then,1
for fall and,1
for long time,1
for me as,1
for me as cripple,1
for message forwards,1
for moving away,1
for moving,1
for mos,1
for more negotiation later,1
for more negotiation,1
for more,1
for message forwards right,1
for message,1
for me but,1
for me to imagine,1
for me to have,1
for me to get,1
for me to,1
for me this game,1
for me this,1
for me but hes,1
for fall,1
for example you,1
follow through with the,1
for example,1
for attacking italy,1
for attacking,1
for an attack on,1
for an attack,1
for an,1
for 1910 in case,1
for 1910 in,1
for 1910,1
for 1902 is to,1
for 1902 is,1
for 1902,1
for,1
foot let me know,1
foot let me,1
foot let,1
foot,1
following year,1
for attacking italy and,1
for attacking me,1
for austria,1
for couple hours,1
for dinner etc and,1
for dinner etc,1
for dinner but will,1
for dinner but,1
for dinner,1
for den,1
for couple hours so,1
for couple,1
for austria to,1
for both of us,1
for both of our,1
for both of,1
for both,1
for black and austria,1
for black,1
for bit,1
france gives germany,1
france gives germany big,1
france in,1
frustrated,1
fun we,1
fun to have nice,1
fun to have,1
fun to,1
fun,1
full transparency going to,1
full transparency going,1
full transparency,1
full extent of their,1
full extent of,1
full extent,1
full,1
fucking spot and you,1
fucking spot and,1
fucking spot,1
fucking,1
frustrated with him because,1
fun we went,1
fun we went out,1
funky,1
gain,1
gal without working,1
gal vie pru ber,1
gal vie pru,1
gal vie,1
gal ska den swe,1
gal ska den,1
gal ska,1
fyi,1
further,1
future play then that,1
future play then,1
future play,1
further gains,1
further action rests on,1
further action rests,1
further action,1
frustrated with,1
fruition,1
galacia,1
fronts,1
from you,1
from warsaw,1
from uk,1
from trieste,1
from this game so,1
from this game,1
from this,1
from there if you,1
from there if,1
from there,1
from them each,1
from them,1
from the way the,1
from the way,1
from the top,1
from the start,1
from the middle while,1
from you anywhere,1
from you anywhere this,1
from you we,1
front since there,1
front without being in,1
front without being,1
front without,1
front so can focus,1
front so can,1
front so,1
front since there is,1
front since,1
from you we can,1
front line,1
front and puts more,1
front and puts,1
front and,1
front,1
from your perspective,1
from your,1
gal without working something,1
galacia or,1
from the looks of,1
game over dumb stab,1
game where we,1
game where,1
game was ruined the,1
game was ruined,1
game was,1
game up brilliantly to,1
game up brilliantly,1
game up,1
game to learn how,1
game to learn,1
game to,1
game this is kind,1
game this is,1
game this,1
game think,1
game so that prepared,1
game so that,1
game where we work,1
game with,1
game with whoever,1
general,1
general train,1
general road map goes,1
general road map,1
general road,1
general expectations and being,1
general expectations and,1
general expectations,1
gathered the same from,1
game with whoever his,1
gathered the same,1
gathered the,1
gathered,1
gascony,1
games,1
gameplay style,1
gameplay,1
game so,1
game over dumb,1
galacia or the,1
game over,1
game and,1
game an alliance between,1
game an alliance,1
game an,1
game,1
gamble that could hurt,1
gamble that could,1
gamble that,1
gamble,1
galicia we can attack,1
galicia we can,1
galicia we,1
galicia and trieste can,1
galicia and trieste,1
galicia and,1
galicia,1
galacia or the black,1
game and for,1
game and for personal,1
game but,1
game in general,1
game now,1
game never as interesting,1
game never as,1
game never,1
game is bit of,1
game is bit,1
game is,1
game in,1
game but at,1
game had to go,1
game had to,1
game had,1
game for the lepanto,1
game for the,1
game for,1
game but at the,1
from the middle,1
from the english channel,1
france in the,1
france told,1
frankly im not,1
frankly im,1
frances game is bit,1
frances game is,1
frances game,1
frances,1
france went,1
france was moving into,1
france was moving,1
france was going to,1
france was going,1
france was,1
france wants me to,1
france wants me,1
france wants,1
france told me theyre,1
france told me that,1
frankly im not certain,1
freaking,1
freaking out,1
frees me up,1
french off your,1
french off,1
french are sufficiently distracted,1
french are,1
french,1
frees me up to,1
frees me up in,1
frees me,1
freaking out about,1
frees,1
free of them if,1
free of them,1
free of,1
free,1
freaking turkish,1
freaking out about in,1
france told me,1
france to support my,1
french unit,1
france to support,1
france making optimal,1
france making,1
france like what is,1
france like what,1
france like,1
france just decides all,1
france just decides,1
france just,1
france is weird,1
france is on,1
france is busy freaking,1
france is busy,1
france is,1
france into position of,1
france into position,1
france into,1
france in the bud,1
france making optimal disband,1
france moving,1
france moving on,1
france still has,1
france to,1
france this year,1
france this,1
france theyre being pretty,1
france theyre being,1
france theyre,1
france still has total,1
france still,1
france moving on me,1
france retreating their will,1
france retreating their,1
france retreating,1
france out,1
france or russia look,1
france or russia,1
france or,1
french off your border,1
french unit hes,1
from the english attack,1
from catching on,1
from italy and,1
from italy,1
from going west and,1
from going west,1
from going,1
from getting too crazy,1
from getting too,1
from getting,1
from germany,1
from further gains,1
from further,1
from finland moving in,1
from finland moving,1
from finland,1
from england or me,1
from england or,1
from england france told,1
from italy and england,1
from italy or,1
from italy or austria,1
from nth,1
from the english,1
from the austrians on,1
from the austrians,1
from the,1
from one of them,1
from one of,1
from one,1
from my moves this,1
from italy so,1
from my moves,1
from my dots,1
from my,1
from me that supporting,1
from me that,1
from me,1
from italy so assumed,1
from england france,1
from catching,1
french unit hes annoyingly,1
from bulgaria you be,1
friends you could,1
friends you,1
friends,1
friendly units on our,1
friendly units on,1
friendly units,1
friendly north so far,1
friendly north so,1
friendly north,1
friendly,1
friend rather than their,1
friend rather than,1
friend rather,1
friend for me this,1
friend for me,1
friend for,1
friend,1
friends you could have,1
from,1
from all,1
from both of,1
from bulgaria you,1
from bulgaria,1
from britain yet but,1
from britain yet,1
from britain,1
from bre,1
from both of them,1
from both,1
from all the,1
from bel and then,1
from bel and,1
from bel,1
from and we pledge,1
from and we,1
from and,1
from all the information,1
has around but,1
has been,1
in the mood for,1
if that alright,1
if support you into,1
if support you,1
if support,1
if so what message,1
if so what,1
if so how do,1
if so how,1
if so,1
if she does ideally,1
if she does,1
if she,1
if russia is busy,1
if russia is,1
if russia,1
if not well that,1
if not well,1
if not,1
if that,1
if that ends,1
if you would rather,1
if that ends with,1
if the turks,1
if the opportunity arises,1
if the opportunity,1
if the,1
if thats the issue,1
if thats the,1
if thats,1
if that their plan,1
if that their,1
if that the case,1
if that the,1
if that his reasoning,1
if that his,1
if that helps,1
if that happens should,1
if that happens,1
if that happened,1
if my plans solidify,1
if my plans,1
if my,1
if ll have much,1
if id rather it,1
if id rather,1
if id,1
if help you to,1
if help you,1
if help,1
if hear anything,1
if hear,1
if he vacates bohemia,1
if he vacates,1
if he not going,1
if he not,1
if he made the,1
if he made,1
if he looking to,1
if he looking,1
if he gives me,1
if if,1
if if he,1
if if he looking,1
if it must be,1
if ll have,1
if ll,1
if italy wants it,1
if italy wants,1
if italy,1
if it not tyrolia,1
if it not,1
if it must,1
if im,1
if it makes sense,1
if it makes,1
if it,1
if im looking at,1
if im looking,1
if im being ignored,1
if im being,1
if the turks decide,1
if them,1
